how's your mother?	hur mår din mor?
stalin asked lenin if he could borrow his hammer and sickle.	stalin frågade lenin om han kunde få låna hans hammare och skära.
don't tell crude jokes in the presence of my father.	dra inte råa skämt när min pappa är med.
the masses rose against the dictator.	massorna reste sig mot diktatorn.
tom is a bit strange.	tom är lite konstig.
is tom here already?	är tom redan här?
was this wall built to keep people out or to keep them in?	byggdes den här muren för att hålla folk ute eller för att hålla dem inne?
you're dangerous.	du är farlig.
that sounds like a good idea.	det låter som en bra idé.
"trust me," he said.	”lita på mig”, sade han.
i'm actually pretty tired.	jag är faktiskt ganska trött.
point it out.	peka ut det.
your new hair style makes you look older.	din nya frisyr gör att du ser äldre ut.
i want you to tell me everything that happened.	jag vill att du berättar allting som hände.
i see her two, three times a month.	jag ser henne två, tre gånger i månaden.
were you shot at?	blev du beskjuten?
i thought tom would show up.	jag trodde att tom skulle dyka upp.
i work here.	jag arbetar här.
lo and behold!	hör och häpna!
on the whole i agree with you.	i stort sett håller jag med dig.
could i talk to you?	kan jag tala med dig?
tom said that he doubted mary would win.	tom sa att han tvivlade på om mary skulle vinna.
where shall we meet?	var ska vi ses?
forgive us.	förlåt oss.
i can't keep this.	jag kan inte behålla det här.
tom can't move his right arm.	tom kan inte röra sin högra arm.
she can't stand light, not even the light from a cellphone.	hon tål inte ljus, inte ens skenet från en mobiltelefon.
she just left.	hon gick precis.
i know you miss your family.	jag vet att du saknar din familj.
he's shorter than tom.	han är kortare än tom.
don't make me do this.	tvinga mig inte att göra det här.
bananas are yellow.	bananer är gula.
where does your uncle live?	var bor din farbror?
i was disgusted.	jag var äcklad.
he didn't have lunch.	han åt inte lunch.
the human hand has five fingers with nails.	den mänskliga handen har fem fingrar med naglar.
tom's feet felt numb.	tom fötter kändes stelfrusna.
that was a beautiful moment.	det där var en vacker stund.
can you give me a ride?	kan du ge mig skjuts?
it's a bad habit.	det är en dålig vana.
you look busy.	du ser upptagen ut.
i knew what you meant.	jag visste vad ni menade.
her admirable creative urge rubs off on other people.	hennes beundransvärda skaparlust smittar av sig på andra.
to her sorrow, her only son left her alone.	till hennes sorg hade hennes son lämnat henne ensam.
the mirror broke.	spegeln krossades.
it was really easy.	det var mycket lätt.
i didn't go to school.	jag gick inte till skolan.
thank you for the soup.	tack för soppan.
tom had a hectic week.	tom hade en hektisk vecka.
you won't believe me.	du kommer inte att tro på mig.
i fell asleep.	jag somnade.
he behaved like a child.	han betedde sig som ett barn.
please turn on the light.	var snäll och tänd lyset.
he's a bit shy.	han är lite blyg av sig.
i said sit down.	sätt dig, sa jag.
how many did you get?	hur många fick du?
i don't want to live in a big city.	jag vill inte bo i en stor stad.
the students parted into three groups.	studenterna delade in sig i tre grupper.
i have just been to the station to see my uncle off.	jag har precis varit på stationen för att vinka av min morbror.
tom looks confused.	tom ser förvirrad ut.
a word to the wise is enough.	vis man förstår halvkväden visa.
the teacher opened the box and took out a ball.	läraren öppnade lådan och tog ut en boll.
tom didn't want to go there after dark.	tom ville inte gå dit efter mörkrets inbrott.
dan and linda are twins.	dan och linda är tvillingar.
that is my sister.	det är min syster.
is that a red pen?	är det en röd penna?
the cats are purring.	katterna spinner.
i hate the rain.	jag hatar regn.
he wants to keep a close eye on the rules.	han vill ha stenkoll på reglerna.
ziri is experienced.	ziri är erfaren.
this is beyond perfection.	det här är bortom perfektion.
mary told me that she wasn't upset.	mary sa till mig att hon inte var upprörd.
the loss of her father was very painful for her.	förlusten av hennes far var väldigt smärtsamt för henne.
eat as much as you like.	ät så mycket du vill.
here are some idioms.	här är några idiomatiska uttryck.
get out of my bed before i kill you.	ut ur min säng innan jag dödar dig.
you do not have to do it now.	det måste inte göras nu med en gång.
we've got to find a new babysitter.	vi måste hitta en ny barnvakt.
tom's early.	tom är tidig.
is that deliberate?	är det avsiktligt?
it's all but impossible.	det är allt annat än omöjligt.
she came last.	hon kom sist.
he went to berlin last year.	han åkte till berlin i fjol.
i wonder if it will work.	jag undrar om det kommer att fungera.
where are your children?	var är era barn?
hiroko has charming features.	hiroko har charmiga drag.
marx and engels weren't prophets.	marx och engels var inte profeter.
we're social workers.	vi är socialarbetare.
what happened in boston?	vad hände i boston?
i think we have enough money.	jag tror att vi har tillräckligt med pengar.
do i look like tom?	ser jag ut som tom?
i would like to go to the usa.	jag skulle gärna vilja åka till usa.
she drowned.	hon drunknade.
take mine.	ta mitt.
this pond is shallow.	den här dammen är grund.
i want to be an honest person.	jag vill vara en ärlig person.
where did you do it?	var gjorde du det?
he is shaking like a leaf.	han skakar som ett löv.
it's fair.	det är rättvist.
i feel completely helpless.	jag känner mig helt hjälplös.
are you listening?	lyssnar du?
the bear growls.	björnen brummar.
we need to clean our chimney.	vi måste rensa vår skorsten.
what do we have?	vad har vi?
i saw tom again.	jag såg tom igen.
how many pens did you buy?	hur många pennor köpte du?
why have we failed?	varför har vi misslyckats?
you shot her.	du sköt henne.
do you agree with their decision?	samtycker du med deras beslut?
tom struggled to get free.	tom kämpade för att bli fri.
tom is furious.	tom är rasande.
who wrote this letter?	vem skrev det här brevet?
tom lay awake for a long time thinking about what he should do.	tom låg vaken länge och tänkte på vad han skulle göra.
incredible, isn't it?	otroligt, eller hur?
how did you get in here?	hur tog du dig in hit?
get dressed quickly.	kläd på er fort.
can i be of help?	kan jag vara till hjälp?
be kind to tom.	var snäll mot tom.
that's nothing but a figure of speech.	det är bara ett talesätt.
who's playing the guitar?	vem är det som spelar gitarr?
i can't be sure.	jag kan inte vara säker.
how long do i have to stay here?	hur länge måste jag stanna här?
is the food good there?	är maten bra där?
i wouldn't have done that.	det skulle jag inte ha gjort.
the child caresses the cat.	barnet smeker katten.
shall i keep you informed?	ska jag hålla dig informerad?
tom says that he didn't do that.	tom sa att han inte hade gjort det.
you began to play an old song.	du började spela en gammal sång.
she cried bitterly.	hon grät bittert.
put everything in this box.	lägg allting i den här lådan.
i'm doing okay.	det går bra med mig.
she fascinated me.	hon fascinerade mig.
tom does not know how to sing.	tom vet inte hur man sjunger.
what do you know about tom?	vad vet du om tom?
i have a badge.	jag har ett kännetecken.
i speak spanish to god, italian to women, french to men, and german to my horse.	jag talar spanska med gud, italienska med kvinnor, franska med män och tyska med min häst.
this is tom's school.	detta är toms skola.
the tractor is my most important vehicle.	traktorn är mitt viktigaste fordon.
she's uninsured.	hon är oförsäkrad.
is eating healthy more expensive?	är det dyrare att äta nyttigt?
tom is a human skeleton.	tom är ett mänskligt skelett.
there is a bird here.	det finns en fågel här.
tom tries to write a new blog entry every day.	tom försöker skriva ett nytt blogginlägg varje dag.
it was just the beginning.	det var bara början.
i don't know if i have the time.	jag vet inte om jag hinner.
tom didn't get anything done today.	tom fick inte något gjort idag.
what did you bring?	vad hade du med dig?
what was your plan anyway?	vad var din plan egentligen?
i thought i saw a ghost.	jag trodde att jag såg ett spöke.
i have never smoked.	jag har aldrig rökt.
i hate those things.	jag hatar de där.
it lasted for almost an hour.	det varade nästan en timme.
has tom been helpful?	har tom varit hjälpsam?
we are studying.	vi studerar.
everyone's here.	alla är här.
how many constellations do you know?	hur många stjärnbilder känner du till?
he doesn't understand you.	han förstår er inte.
i love this job.	jag älskar detta arbete.
he never gave in to temptation.	han gav aldrig efter för frestelsen.
tom has never cut his own children's hair.	tom har aldrig klippt sina egna barns hår.
we're in agreement.	vi är överens.
tom didn't speak to me.	tom talade inte till mig.
wars don't simply start like winter starts, but rather it is people that start a war.	krig startar inte bara som vintern startar, utan snarare är det människor som startar ett krig.
sami kept trying.	sami fortsatte försöka.
whose are they?	vems är de?
i've lived in china for six months.	jag har bott sex månader i kina.
tom likes spaghetti.	tom gillar spagetti.
to the astonishment of the whole city, the mayor was arrested.	till hela stadens förvåning, arresterades borgmästaren.
no one really knows.	det är ingen som faktiskt vet.
i came to say hi.	jag kom för att säga hej.
his ideas are crazy.	hans idéer är galna.
we've got very little time.	vi har väldigt lite tid på oss.
he feels disturbed.	han känner sig illa till mods.
this woman has two bags.	den här kvinnan har två väskor.
